subject,predicate,object
n630dbcfd8f394cab9309f792f0907fb7b52,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#SubjectMap
n630dbcfd8f394cab9309f792f0907fb7b147,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b222,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b26,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b27
n630dbcfd8f394cab9309f792f0907fb7b117,http://www.w3.org/ns/r2rml#column,is_active
urn:MAPPING-ID3,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b17
urn:MAPPING-ID17,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b137
n630dbcfd8f394cab9309f792f0907fb7b52,http://www.w3.org/ns/r2rml#template,http://example.org/mappingdata/auth_group_permissions/id={id}
n630dbcfd8f394cab9309f792f0907fb7b133,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#IRI
n630dbcfd8f394cab9309f792f0907fb7b199,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b152,http://www.w3.org/ns/r2rml#column,email
urn:MAPPING-ID21,http://www.w3.org/ns/r2rml#subjectMap,n630dbcfd8f394cab9309f792f0907fb7b175
n630dbcfd8f394cab9309f792f0907fb7b100,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/auth_user#is_superuser
n630dbcfd8f394cab9309f792f0907fb7b111,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b142,http://www.w3.org/ns/r2rml#column,user_id
urn:MAPPING-ID22,http://www.w3.org/ns/r2rml#subjectMap,n630dbcfd8f394cab9309f792f0907fb7b177
n630dbcfd8f394cab9309f792f0907fb7b17,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
n630dbcfd8f394cab9309f792f0907fb7b73,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
n630dbcfd8f394cab9309f792f0907fb7b162,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b241,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b242
n630dbcfd8f394cab9309f792f0907fb7b28,http://www.w3.org/ns/r2rml#sqlQuery,"SELECT `auth_permission`.`id` AS `auth_permission_id`, `django_content_type`.`id` AS `django_content_type_id` FROM `auth_permission`, `django_content_type` WHERE `auth_permission`.`content_type_id` = `django_content_type`.`id`"
n630dbcfd8f394cab9309f792f0907fb7b116,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/auth_user#is_active
n630dbcfd8f394cab9309f792f0907fb7b19,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
n630dbcfd8f394cab9309f792f0907fb7b57,http://www.w3.org/ns/r2rml#sqlQuery,"SELECT `auth_group_permissions`.`id` AS `auth_group_permissions_id`, `auth_permission`.`id` AS `auth_permission_id` FROM `auth_group_permissions`, `auth_permission` WHERE `auth_group_permissions`.`permission_id` = `auth_permission`.`id`"
n630dbcfd8f394cab9309f792f0907fb7b19,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b20
n630dbcfd8f394cab9309f792f0907fb7b179,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b197,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b108,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/auth_user#first_name
n630dbcfd8f394cab9309f792f0907fb7b47,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b48
n630dbcfd8f394cab9309f792f0907fb7b97,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#IRI
n630dbcfd8f394cab9309f792f0907fb7b106,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
n630dbcfd8f394cab9309f792f0907fb7b41,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#R2RMLView
n630dbcfd8f394cab9309f792f0907fb7b50,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b142,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b155,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b156
n630dbcfd8f394cab9309f792f0907fb7b181,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#integer
n630dbcfd8f394cab9309f792f0907fb7b84,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/django_admin_log#ref-content_type_id
n630dbcfd8f394cab9309f792f0907fb7b218,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b152,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b181,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
n630dbcfd8f394cab9309f792f0907fb7b37,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
urn:MAPPING-ID2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TriplesMap
n630dbcfd8f394cab9309f792f0907fb7b31,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#string
n630dbcfd8f394cab9309f792f0907fb7b145,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/auth_user_groups#ref-group_id
urn:MAPPING-ID2,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b9
n630dbcfd8f394cab9309f792f0907fb7b24,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b27,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b37,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b67,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/django_admin_log#id
n630dbcfd8f394cab9309f792f0907fb7b125,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/authentication_llmchat#chat_title
urn:MAPPING-ID23,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b186
urn:MAPPING-ID14,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b108
n630dbcfd8f394cab9309f792f0907fb7b101,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b14,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#SubjectMap
n630dbcfd8f394cab9309f792f0907fb7b207,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b136,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#IRI
n630dbcfd8f394cab9309f792f0907fb7b233,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b76,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b64,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b166,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
n630dbcfd8f394cab9309f792f0907fb7b131,http://www.w3.org/ns/r2rml#template,http://example.org/mappingdata/authentication_llmchat/id={authentication_llmchat_id}
n630dbcfd8f394cab9309f792f0907fb7b107,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b89,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
urn:MAPPING-ID15,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b121
urn:MAPPING-ID22,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TriplesMap
n630dbcfd8f394cab9309f792f0907fb7b154,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b23,http://www.w3.org/ns/r2rml#sqlQuery,SELECT * FROM `auth_permission`
n630dbcfd8f394cab9309f792f0907fb7b4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b8,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#integer
n630dbcfd8f394cab9309f792f0907fb7b54,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/auth_group_permissions#ref-group_id
n630dbcfd8f394cab9309f792f0907fb7b146,http://www.w3.org/ns/r2rml#template,http://example.org/mappingdata/auth_group/id={auth_group_id}
n630dbcfd8f394cab9309f792f0907fb7b71,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b72
n630dbcfd8f394cab9309f792f0907fb7b46,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b175,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#IRI
n630dbcfd8f394cab9309f792f0907fb7b224,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#string
n630dbcfd8f394cab9309f792f0907fb7b123,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/authentication_llmchat#created_at
n630dbcfd8f394cab9309f792f0907fb7b107,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
n630dbcfd8f394cab9309f792f0907fb7b64,http://www.w3.org/ns/r2rml#column,object_repr
n630dbcfd8f394cab9309f792f0907fb7b138,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
n630dbcfd8f394cab9309f792f0907fb7b219,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/authentication_llminventory#llm_name
n630dbcfd8f394cab9309f792f0907fb7b1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
n630dbcfd8f394cab9309f792f0907fb7b127,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/authentication_llmchat#id
urn:MAPPING-ID7,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b47
n630dbcfd8f394cab9309f792f0907fb7b153,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
n630dbcfd8f394cab9309f792f0907fb7b192,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#IRI
n630dbcfd8f394cab9309f792f0907fb7b142,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#integer
n630dbcfd8f394cab9309f792f0907fb7b115,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#boolean
n630dbcfd8f394cab9309f792f0907fb7b102,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
n630dbcfd8f394cab9309f792f0907fb7b199,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#integer
n630dbcfd8f394cab9309f792f0907fb7b242,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b99,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#dateTime
n630dbcfd8f394cab9309f792f0907fb7b29,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#SubjectMap
n630dbcfd8f394cab9309f792f0907fb7b20,http://www.w3.org/ns/r2rml#column,content_type_id
urn:MAPPING-ID3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TriplesMap
